time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/learning_rate,train/value_loss,train/std,train/entropy_loss,train/explained_variance
1368,64,221.19581604003906,131.42,1149,1572864,85.41089630126953,0.030265299479166667,0.2,-0.002652182422267894,0.00583861,315,0.0003,180.12051086425782,1.008193850517273,-17.120912933349608,0.9574747085571289
1388,65,221.13925170898438,130.64,1150,1597440,86.1688232421875,0.037337239583333334,0.2,-0.002852957975119352,0.0047817044,320,0.0003,180.70345560709634,1.0084435939788818,-17.12346509297689,0.9579998850822449
1410,66,224.50437927246094,132.16,1150,1622016,82.71888732910156,0.0181396484375,0.2,-0.0019985094976921877,0.005975621,325,0.0003,174.47351481119793,1.0084415674209595,-17.125352478027345,0.9582886695861816
1431,67,227.98226928710938,132.03,1150,1646592,77.45748901367188,0.031575520833333336,0.2,-0.0021937399714564284,0.0050047743,330,0.0003,165.55784810384114,1.0074931383132935,-17.12000872294108,0.9617084264755249
1453,68,226.92352294921875,130.61,1149,1671168,77.51200866699219,0.022688802083333334,0.2,-0.002204681762183706,0.006909733,335,0.0003,164.94290873209636,1.0059131383895874,-17.1042786916097,0.9625023007392883
1473,69,228.26577758789062,131.94,1150,1695744,75.42447662353516,0.014656575520833333,0.2,-0.002128356920244793,0.0052950084,340,0.0003,160.7585479736328,1.0043412446975708,-17.085210291544595,0.9624454975128174
1494,70,223.6422119140625,132.56,1151,1720320,72.90628814697266,0.031901041666666664,0.2,-0.0024221555368664363,0.006556583,345,0.0003,155.84170328776042,1.0034747123718262,-17.069329579671223,0.9636296629905701
1515,71,226.36692810058594,132.73,1151,1744896,74.40018463134766,0.026204427083333332,0.2,-0.0025071760872378947,0.0041142884,350,0.0003,157.92948303222656,1.0027354955673218,-17.06023890177409,0.9630129933357239
1537,72,226.8973388671875,130.25,1151,1769472,71.19955444335938,0.0187255859375,0.2,-0.002096139173954725,0.005688848,355,0.0003,149.0475840250651,1.0023452043533325,-17.052470016479493,0.9661111235618591
1560,73,225.2425537109375,130.68,1149,1794048,68.9077377319336,0.0315185546875,0.2,-0.0021207344873497886,0.006111952,360,0.0003,142.95714314778647,1.001894474029541,-17.047199249267578,0.966896653175354
1583,74,223.80677795410156,134.2,1148,1818624,68.02464294433594,0.03356119791666667,0.2,-0.002226567229566475,0.0062977057,365,0.0003,140.83785705566407,1.0014787912368774,-17.04154281616211,0.9667258858680725
1605,75,224.8389129638672,133.79,1148,1843200,67.03235626220703,0.026806640625,0.2,-0.0024305268617657323,0.0064998413,370,0.0003,140.3272694905599,1.000735878944397,-17.03478495279948,0.9675213694572449
1626,76,227.13946533203125,132.55,1148,1867776,64.73242950439453,0.028857421875,0.2,-0.002586700786681225,0.0043622614,375,0.0003,136.1321014404297,1.0003401041030884,-17.026922353108723,0.9686684608459473
1647,77,227.22723388671875,134.14,1148,1892352,63.10070037841797,0.031901041666666664,0.2,-0.002785170474089682,0.0061018975,380,0.0003,130.5296630859375,0.9999796748161316,-17.02277488708496,0.9695581197738647
1669,78,227.1118621826172,134.24,1148,1916928,62.8613166809082,0.0407470703125,0.2,-0.0030261138919740914,0.0044105765,385,0.0003,132.82308553059895,0.9986884593963623,-17.01393852233887,0.9688690900802612
1690,79,227.56646728515625,133.54,1148,1941504,61.784854888916016,0.03814290364583333,0.2,-0.002914231161897381,0.0051984214,390,0.0003,126.83375600179036,0.9986405968666077,-17.00135498046875,0.9707551598548889
1712,80,231.10903930664062,134.05,1148,1966080,60.42446517944336,0.040242513020833336,0.2,-0.0029692795147032787,0.0066607646,395,0.0003,126.17807108561198,0.9987561106681824,-17.005029932657877,0.9700506329536438
1733,81,226.9912872314453,132.91,1148,1990656,57.716705322265625,0.051123046875,0.2,-0.002889411780051887,0.006726322,400,0.0003,123.65665283203126,0.9983325004577637,-17.001661173502605,0.9710170030593872
1755,82,231.5738525390625,136.02,1148,2015232,57.91138458251953,0.03917643229166667,0.2,-0.0029180017299950123,0.0046835383,405,0.0003,121.54038696289062,0.9977045059204102,-16.996266301472982,0.9715216159820557
